F_UserName,User_nIdx,F_Comment,Label,TextLen
给大佬递冰阔落,555,  米卫兵！出动！,3.0,9
KIAAAAAAAA,1258,   还有一个,3.0,7
安澈c,356,抽我选我  ,3.0,6
Ray_约定湘南,490,  蹲,3.0,3
17173轩辕,400,这游戏画面不错，看视频操作感也应该不差，可以关注下。 ,3.0,27
钥匙会落地,1019,  lei了 lei了,3.0,11
中了大家发,2696,666 ,3.0,4
SvS小雨10032,916,   快看，是ps4,3.0,10
不要再吃糖了啊_,851,  抽奖还是要的[嘻嘻],3.0,12
阿尔法雨果,1955,  来玩啊 ,3.0,6
复方晚公子,869,  加倍概率。,3.0,7
复方晚公子,869,  原神！,3.0,5
Popure_,443,  原神（-HYZX-）,3.0,12
Beloved_Blood,616,  能给个测试的机会吗,3.0,11
Lemon-小猴子,579,  [二哈],3.0,6
poi的提督,1624,  =W=rua~！,3.0,10
林林林有雪,1811,  中奖绝缘体[允悲][泪],3.0,14
DaftStone,412,  安排,3.0,4
打游戏的小李,302,  来呀,3.0,4
注销990011232,392,原神！   ,3.0,6
昊哥昊哥耗,638,真实,3.0,2
别说了蚌埠住了,2208,  [doge][doge],3.0,14
昨天炖的鱼,134,  拉低中奖率,3.0,7
Mona-忬嵐,1839,幸好有这样设备  ,3.0,9
Mona-忬嵐,1839,幸好有了这样设备[吃瓜][吃瓜][吃瓜],3.0,20
凄凄惨惨戚戚年年朝朝暮暮,2597,  转发微博,3.0,6
让我无法抗拒的一次旅行,2596,  转发微博,3.0,6
他他达拉菲草莓味冰激凌凌凌凌,319,  转发微博,3.0,6
芬forLOVE,666,其实我是为了测试资格.......嗯，是的[馋嘴]  ,3.0,27
就是把不爱吃鱼,941,让我也做一波抽奖狗[嘻嘻]  ,3.0,15
白米饭叔叔,1770,#转发抽奖#     求中奖。,3.0,15
诶原来是你喔,2343,  拉低拉低拉低,3.0,8
诶原来是你喔,2343,  拉低中奖率拉低中奖率拉低中奖率求求你们抽中我吧qaq,3.0,28
瞌睡的貓DrowsyCat,1091,  嘿嘿嘿,3.0,5
朱子彧2333,1564,   这个奖更大一些[doge],3.0,16
Yan-zitiao,36,  完全模仿塞尔达，但是感觉应该还多好玩,3.0,20
健身环小冒险,234,塞尔达即视感？？？  ,3.0,11
-Violet_Evergarden-,659,终于等到内测了  ,3.0,9
劳拉Candy糖糖,2214,      [给力][给力][给力][给力][给力][给力][给力],3.0,34
狼小灬灰,327,  ！！！我要,3.0,7
燃烧de狒狒,18,我觉得我可以！  ,3.0,9
SaigusaHaruka,1030,   抽…,3.0,5
绝缘_逻辑,69,《原神》开放大世界期待期待呀！  ,3.0,17
可乐沫的夏天,1162,  [doge],3.0,8
可乐沫的夏天,1162,  ,3.0,2
明眸皓月_,1947,   希望中奖啊qaq,3.0,11
hikikomori咯,650,  那就一人一个ps4吧,3.0,12
无以言语的弱,2304,  leile leile,3.0,13
yilililii,865,[龇牙咧嘴],3.0,6
全都给我木达木达,1215,我就想要个ps4 pro  ,3.0,14
余尧吉,207,   [好爱哦]这么棒,3.0,11
真新镇的大木博士,540,  重在参与,3.0,6
奶爸雪过云清,131,抽奖来点测试资格啊，，很期待！ ,3.0,16
-夫_子-,167,    官方给个测试资格[鲜花]万分感谢[鲜花][鲜花][鲜花],3.0,32
春寒故梦,2045,总要抱着希望  ,3.0,8
三釖瑬,1227,  求原神测试服,3.0,8
南轲太守,1111,  我能欧一波么,3.0,8
没有昵称的zyk,1174,  嘿嘿，借你一用,3.0,9
爱吃鸡的郝神,1614,米哈呦 必属精品  ,3.0,10
Superboy_zxw,1982,  [兔子],3.0,6
Superboy_zxw,1982,  [兔子],3.0,6
神秘绅士男,524,  支持支持,3.0,6
福伯顿先生,1136,      冲冲冲,3.0,9
猴猴我啊想飞,178,   冲啊  米和油,3.0,10
别让昨天在泥巴里打滚,1084,   拉低中奖率,3.0,8
-七星璨璨凝流光-,989,  终于等到了,3.0,7
三仙尼,1862,  爱嘹,3.0,4
任天堂switch俱乐部,2198,   这很塞尔达！,3.0,9
离涯眦,2436,期待新游 ,3.0,5
祁白白吖,1247,   诶嘿  [二哈],3.0,11
中华家的窝窝头,1244,  米哈游牛批噢！已经预约了噢！不知道能不能上PS4呢[许愿][许愿][许愿]我买PS4就是为了玩原神！[太开心][太开心][太开心],3.0,67
土豆番茄糖三勺,822,  [加油],3.0,6
uuuuundemo,828,   首测[跪了][跪了],3.0,13
-乔鲁诺乔巴拿拿-,1289,[可爱]出来抽奖 ,3.0,9
风花雪_越,1700,不得不说，米哈游的画面质量还是高  ,3.0,18
Booker_Dewitt,1443,  ps4,3.0,5
Alttaboo,2324,  随缘,3.0,4
一直都是贝极星的捏,982,   玩咯你个铁憨憨,3.0,10
墨色未白,1536,  来来来！,3.0,6
放逐的阿里萨,1705,GKD  ,3.0,5
最近有点撩频,2463,  我想玩啊,3.0,6
减肥3000天,1147,以吾之厄运为祭品，以吾之厄运为代价。献上鲜血与哀呼，付出心灵与信仰。万能的白前辈在上!请赐予在下力量吧！     ,3.0,57
奶油苹果派,2001,  行吧,3.0,4
kahwangtin,644,很多人说像塞尔达....那我就来转发抽奖吧.....  ,3.0,28
焦糖海盐啊,2584,  哈哈哈,3.0,5
貓與貓尋_inamin,315,[doge]快来吧！  ,3.0,12
不可思尹_,187,  国产版塞尔达[doge][doge],3.0,20
想和你去冲浪,552,我真8是米卫兵嗷  ,3.0,10
你也不要太伤心了,546,  中,3.0,3
于苦酒,1837,  献祭你让我欧一次。[doge],3.0,17
空调还得17度,1241,快，我需要内测资格  嗯，这次不会艾特错了,3.0,21
久石淋,1802,  法务部出来干活了！,3.0,11
華Karin,1571,期待  ,3.0,4
落兮陌爱晨,1057,好期待的说呀  ,3.0,8
三十建构设计工作室,42,  借助一下运气！[偷笑],3.0,13
CLCL青,640,米哈游新作[doge][doge][doge]  ,3.0,25
快门回溯这首歌很好听x,2159,   来看看,3.0,6
给你一个滑稽,2251,  [二哈],3.0,6
给你一个滑稽,2251,  我要[二哈],3.0,8
盲目愚钝冷眼,936,  我们要发财啦[doge][doge],3.0,20
Luciferbear,13,PS4PRO,3.0,6
Domiso武士,442,    蠢蠢欲动,3.0,8
风波无痕6071444488,2107,ps4可以想一想 ,3.0,9
Silence214ce,2433,  转发微博,3.0,6
cc陌若晨曦,1774,  感觉就是抽奖来的,3.0,10
芋头夹有幸福,2571,[心][爱你]期待   ,3.0,12
好名子都被别人起了,477,  (◍ ´꒳` ◍),3.0,11
Tusmuto,56,[心][爱你]   ,3.0,10
菠萝AiMiya,975,  米哈游牛逼！  怒草大伟哥！,3.0,16
WimJimLeung,292,很酷酷哦  ,3.0,6
老岳岳-,2140,  你的塞尔达[微笑],3.0,11
朗伯定律,2102,  土拨鼠尖叫.GIF 啊啊啊啊啊啊,3.0,18
-AirJun-,1164,  [并不简单],3.0,8
肉包猫-Gravity5,994,感觉很棒。想尝试一下。  ,3.0,13
笑宝宝是个好姑娘,2706,[爱你] ,3.0,5
__完形填空,2250,  陈老师赛高！！！！,3.0,11
来自榆次的白先生,2612,想要[二哈] ,3.0,7
绝世好剑无双枪,1346,  像不像,3.0,5
V制式量产型萌新,1595,    测试资格，请|･_･`),3.0,16
凉粱,391,   emmmmmmm,3.0,11
丹田sama,1824,  冲,3.0,3
吐槽套,232,  我不管！我要玩！,3.0,10
no-sleep-club,1642,   支持一波,3.0,7
阿塔尼斯的灵能利刃,2691,    冲冲冲啊,3.0,8
灬浩晖晖晖晖晖晖,456,  嗯？？？[doge],3.0,12
only_5,40,  抄又怎样，我想玩啦！！,3.0,13
米丸miv,2175,  来康康[二哈][二哈],3.0,13
gakki之夫,1763,  快来看看这不要face的呀,3.0,15
长的老怪我喽,1806,希望不要又肝又氪  ,3.0,10
废柴阿潜,478,  yoyo的公司出林克惹,3.0,13
_阿楠_,431,  感觉不错，期待一下,3.0,11
CeeoF,858,    [吃瓜][吃瓜],3.0,12
灯若眠,1368,  你懂的,3.0,5
糊涂玖,2231,  抽一下,3.0,5
猫喜欢布丽吉塔,1775,  暗示我马上拥有ps4了[二哈],3.0,17
iAu-Huu,820,  来抽,3.0,4
佑佑佑佑思远,574,  [酸][酸],3.0,8
十余百里,800,  建议起诉[费解]这都不叫相似，这叫完全一致,3.0,23
疯人印象,673,  [doge],3.0,8
花落潮鸣,377,  快来抽,3.0,5
SG-KFC,1015,   诗歌快上！,3.0,8
leonhavenohands,1445,   666,3.0,6
寸心澈水寒,1551,来康康这个  ,3.0,7
湛宫_Mmdpue,2586,ps4！   ,3.0,7
小徐摸鱼中,544,奖品什么的其实不重要，咱作为一名游戏爱好者，很想要参加测试，所以如果中了实物奖励就给你好了[doge]  ,3.0,53
小牛腩_,236,  有点东西啊 已加入期待清单,3.0,15
粉虹小甜甜,2356,米哈游我踏马吹爆   ,3.0,11
小白是腹黑三,1253,  拉低来了,3.0,6
鲜肉腊八饭,420,  来玩塞尔达,3.0,7
絢瀨繪里里,816,  lei了,3.0,6
真王国之心,948,  我是冲奖品来的。,3.0,10
Wu_S_Jie,1720,抄你妈呢，天天抄抄抄，抄完宝可梦开始抄塞尔达了？中国老老实实出几个像守护者这样的游戏这么难吗，天天说支持国创，就这样子谁会去支持？8说了，艾特一下东半球最强法务部  ,3.0,83
不死的八雲,249,zhichi[喵喵] ,3.0,11
哀虎菌,1482,[doge]   我觉得我可以,3.0,15
别烦我在抢饭,1524,  鱼哥能中我也能中,3.0,10
手办狂魔嬴政等身赛高,1943,  来抽奖，超级期待,3.0,10
愚笨海豚IRUKA,2365,  关注一下这个,3.0,8
_SCarLetII,82,  这是端游还是手游！？,3.0,12
馀妍,24,  [费解][费解][费解],3.0,14
Darius木易三页,220,   来了来了,3.0,7
蔷薇真是rose,423,  看看有没有机会买电视,3.0,12
阿育的土豆粉,1565,林克传说莱了 ,3.0,7
八雲雲_,1392,卧槽，这个宣传？？请加大力度  ,3.0,16
_真夏夜夜_,631,  原神 原神,3.0,7
神奇霸王炮竹,516,  城市生活,3.0,6
无力小海浪,594,  试试运气,3.0,6
第一个号被云吞了,2560,喵喵喵？  看看？,3.0,9
屎迪G,286,  [草泥马][草泥马][草泥马],3.0,17
Vivi___ZHOU要好好读书,450,  蹭你运气,3.0,6
水煮牛肉鱼片,1360,最近正在研究这个shader  ,3.0,16
告I别I微I博I,1068,转起来嗷[红心],3.0,8
一切尽在计算之中,2688,  我就是来抽游戏机的,3.0,11
Alery若梦梦,482,  抽！我！啊！,3.0,8
言葉_sakura,1023,  ps4是我的嗷,3.0,9
阿汛吗,122,   玩起来,3.0,6
薛定谔的摸鱼佬,2577,  阿港你康康啊,3.0,8
薛定谔的摸鱼佬,2577,relink暴死了 所以我米哈游这不算抄[doge][喵喵][doge][doge][doge][doge][doge][doge],3.0,66
薛定谔的摸鱼佬,2577,[嘻嘻][嘻嘻][嘻嘻]你去查查米哈游到底多赚 再看看一般原创游戏工作室能赚多少 在滚回来讲这句话想想米哈游到底是想赚钱还是想做游戏,3.0,66
薛定谔的摸鱼佬,2577,吼吼吼[嘻嘻][嘻嘻][嘻嘻]我也没玩啊  300块钱的塞尔达毕竟你手游玩家买不起嘛,3.0,42
毛毛熊abc,60,  在？为什么坐时光机抄袭原神！？不怕米哈游告你们吗,3.0,26
毛毛熊abc,60, ,3.0,1
mohadu,553,  画风我很喜欢的类型,3.0,11
黑青城鵺,1665,   期待期待,3.0,7
Julian_璟,1098,从pv看有塞尔达传说的感觉，画面方面我觉得不错，我感觉中国现在不缺原画好的画师，主要就是看游戏渲染得好不好了。还有就是游戏性相比画质更重要，因为人或许会审美疲劳，但玩游戏的原动力就应该是在于玩法上能让人感觉到趣味十足。  进来看游戏pv顺便抽ps4...[坏笑][吃瓜],3.0,135
胡开心zz,1449,  哇,3.0,3
ethel_rabbit,914,  出来干活啦,3.0,7
SiufayK,541,   观望,3.0,5
萌纸,466,  想玩！ ！,3.0,7
金属古菌,2270,既视感是很强，虽然崩坏三抄遍了全世界，但原神我想再看看…… ,3.0,30
丨Sternen丨,141,  为了PS4 pro[doge],3.0,17
旅行中的白羊,1185,有点像塞尔达？  ,3.0,9
蒸汽溺亡,1004,  先来看这个,3.0,7
Khalil-Young,712,塞尔达精神续作，米哈游倾力制作，会玩塞尔达野吹就会玩的船新游戏，不用天天捧着又大又笨的思维奇，手机就能冲起来了臭弟弟！[嘻嘻]  ,3.0,65
鱼人船,2123,丢人玩意。有请 ,3.0,8
养猫少年-阿晨,101,我本来对你们米哈游还挺有好感的  这个视频看得我是一个劲的皱眉头  你动作抄  怪物抄  我都忍了  你们TM连一个pv都舍不得做？？！  连TM的世界观设计原封不动  照搬不误   米哈游你们真可以   可以给你们法务部找点活干了,3.0,116
玖叶有夜酒,611,  期待！！！,3.0,7
忧观眼下,729,  有兴趣？,3.0,6
Chen_Sn,340,  玩了这么久崩崩崩，还是支持一下吧,3.0,18
懈怠DI猫_远征封港ing,1075,  关注一下,3.0,6
璎珞萌萝Magenta-长期疯癫中,1213,   来看戏，不过说真的风格相似都能理解....这动作和PV宣传都.........,3.0,42
一吉desu,153,  米哈游出新游叻,3.0,9
十七号HOAP,1094,太草了  ,3.0,5
_楪_,204,可以说是相当期待了[doge]    ,3.0,19
恍光,306,  和塞尔达好像,3.0,8
誓约胜利之王,91,  哦嚯,3.0,4
失眠折磨王,1853,  来,3.0,3
在下葉孤城,1326,   喔,3.0,4
紫菜包饭a_,1674,    一起冲,3.0,7
啊啵呲嘚叽嘁嘻,2025,  [委屈],3.0,6
冰皮酥,2239,一等奖不送ns吗[二哈] ,3.0,13
我家小鼠在屯粮,1118,  怕是带不动呀,3.0,8
天天向上也要天天开心,2072,  [胖丁微笑],3.0,8
ChinaEX123,1038,  [太开心],3.0,7
moeaya,205,  分母,3.0,4
寒尽减衣,1798,  一起来,3.0,5
江苟之Djangoss,840,nmd任天堂还是逃不过被抄袭的命运  ,3.0,19
AMG爱无缓存SONY,923,  [酸],3.0,5
B站-miku桑,2091,  超赞啊啊啊!,3.0,8
狂乱贵公子,88,万一    谁没有个手机呢,3.0,13
lihua不会写作文,436,我tm氪爆[憧憬] ,3.0,10
等等还想再等一等,1066,  这个是单机还是连网的?,3.0,13
逆风期多赚少花-aP,45,  [赞][doge],3.0,11
果茶woye,76,   今天阿港周六也得加班了呢,3.0,15
就想安安静静玩单机,1009,啊  ,3.0,3
枳酒星沉,1980,一年前因为渣机带不动崩坏三弃坑了 换新手机之后也没再外 新作还是要支持下  ,3.0,38
ksqc_,438,  抽奖抽奖！,3.0,7
三汪i,685,  我的了,3.0,5
撕了一个葱,2317,  期待,3.0,4
墨妖喵,690,  有人抄袭旷野之息,3.0,10
风暴击倒树,1558,有点像龙之谷 ,3.0,7
美录坦,1761,  阿狗这波操作如何评价[思考],3.0,16
入箱庭,2620,  让我中奖好吗,3.0,8
一袋米要抗几楼1袋米要抗2楼,2287,  看起来很好玩啊,3.0,9
黄金鲤鱼王_magicarp,241,  米哈游的技美大佬是真的六批,3.0,15
控制想控制情绪的情绪,806,  玩新手游,3.0,6
Regis_,1523,  阿港干活了,3.0,7
孤独地行走着,1920,  等等看看,3.0,6
鱼蛋欧巴,683,牛逼 ,3.0,3
l昵称不可用lll,2291,我要玩这个游戏[二哈]  ,3.0,13
让你看到肥宅我很抱歉,2224,     ps4！,3.0,9
阿华甜z,1493,  嘻嘻嘻,3.0,5
一夜镜秋,854,期待  ,3.0,4
楚云深不知处,641,  来啦,3.0,4
入魔轻风,1104,  [doge],3.0,8
Alleri_,1248,  米哈游哦,3.0,6
犀利铜锣烧y,1444,  毁手机,3.0,5
里川糖,2188,  [馋嘴],3.0,6
D罗l,2288,  可以的这个游戏,3.0,9
童路Cy,720,  抽奖抽奖，期待新游！,3.0,12
科学搜查,899,  [doge]转发艾特专用热兵器,3.0,17
oo筋斗云,2050,  好玩这个游戏,3.0,8
弑殇童话,1391,  米哈游的游戏。。。质量是有的，但是太花钱了[笑cry],3.0,29
AlanWalk,218,  玩玩玩,3.0,5
彦翎千筑,1815,吹爆原神的配乐!  [鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],3.0,62
小猪君JoysonChu,2070,  哭了[跪了],3.0,8
VVVAz,1078,  [doge]干活啦,3.0,11
kaer47,1496,  说好的ps4呢,3.0,9
背靠世界的中二鱼,1003,  抽抽抽,3.0,5
PilotDog,1939,  sai原er神da,3.0,11
疯狂的小木人,405,  最新神作哇！赶紧预约来玩！,3.0,15
今天还想更加努力,786,  试试？,3.0,5
明归德,1984,  [嘻嘻][嘻嘻][嘻嘻],3.0,14
Cayde_7,1275,  ,3.0,2
Cayde_7,1275,同感,3.0,2
薯条君不吃鱼,1154,  塞尔达手游安排一下[doge],3.0,17
黑暗福音,180,  萌萌哒！,3.0,6
Ataraxia平安喜樂,1447,原神冲冲冲冲冲，无比期待   ,3.0,15
十六夜幕,1082,  又又又,3.0,5
乐乐君丶,1978,  进来女装,3.0,6
给我醒过来啊,617,  抽抽抽！冲,3.0,7
叫柒沐啦,1532,尼玛这我带的动？？[允悲][允悲][允悲]  ,3.0,23
干一碗南瓜粥,1059,选我  ,3.0,4
天涯雪霁时,917,  不是…有些地方也太像塞尔达了吧,3.0,17
Funnymiaomiao,1760,  牛逼啊米哈游,3.0,8
Bujinnko,599,PC游戏大厂米哈游石锤  ,3.0,13
野生的舰队指挥官,1452,但是我觉得我新浪微博抽奖应该是不会中的。   ,3.0,23
超级小康天下无敌,2117,  [笑而不语][笑而不语][笑而不语],3.0,20
虾乐B1996,462,  希望能得个测试资格，当然中一个PS4也不是不可以[doge][doge],3.0,38
用户不存在ii,919,  来了老弟,3.0,6
爾東_CC,1403,m ,3.0,2
Yoennsei,809,   怎么看,3.0,6
廖力康,2018,  一位好友,3.0,6
丁悦律师,59,  感觉还蛮不错的[坏笑],3.0,13
X-POINT,547,   这画面好好哦,3.0,9
包酱豆腐去葱,1868,抽测试资格送ps4  ,3.0,11
遗忘视界OBW,602,  这个实机画面真好看,3.0,11
冬狮笑频,565,  好的,3.0,4
一直用塞班不会玩安卓,418,  不知道登录不登录PS4啊,3.0,14
一直用塞班不会玩安卓,418,好了他现在上了ns这你可咋办[二哈],3.0,18
一直用塞班不会玩安卓,418,但是火焰史莱姆被灭火后连尼玛上边的斑都一模一样就改了俩眼睛[允悲],3.0,33
一点风吹草动____,309,  傻鱼来陪我玩新游戏！,3.0,12
灰如月岩,725,   吹爆,3.0,5
南猫猫猫猫猫猫猫猫,1108,   等发售[喵喵],3.0,10
蓝发赤瞳绫波厨,2381,画风看着好梦幻，不太舒服。天命科技还是去搞崩坏4吧→_→ ,3.0,29
黄小景啊,1089,  [哆啦A梦微笑][哆啦A梦微笑][哆啦A梦微笑],3.0,26
天缘skylove,150,这个不错啊。。。。     ,3.0,14
夜色依然在,1382,全平台互通？  ,3.0,8
难自弃的王大脸,656,  求码[憧憬],3.0,8
Aloysius_牟,223,    这个，塞尔达吗？？,3.0,13
2言言吖icon,1573,  啊我想要内测资格！！！,3.0,13
蔚蓝黑兔,1252,  相信 米哈游 不是坑货 毕竟我 崩坏二崩坏三 都玩过很长时间！,3.0,33
爱泡芙的透明酱,1734,我觉得可以  ,3.0,7
人类比喵还要愚蠢,691,来了 ,3.0,3
CD7S,1055,  过来中奖[胖丁微笑],3.0,12
欢眠,1566,  怕845阵亡,3.0,8
云莫宇,1600,  [耶][doge][耶]一起冒险嗷,3.0,19
薪火鹏,0,  吸欧气。,3.0,6
-_-Sebastian,945,单纯的想要激活码的米卫兵[太开心]  ,3.0,19
千变万夏丶,1404,  你的姐妹！,3.0,7
vensli,87,  不错啊。,3.0,6
不尽少年心,630,  我不是为了PS4 Pro去的，我真的就是单纯为了激活码[doge],3.0,35
枝楠,434,入新坑，时间和我都准备好了，许愿[太开心]   ,3.0,24
泉此方Konata,228,  抽奖抽奖,3.0,6
Mushroom扯,2524,崩崩崩崩这就要出了？我的小手机瑟瑟发抖 ,3.0,20
盲点发现了花生,2592,  快用你无敌的法务部想想办法，拉屎拉到你头上了,3.0,24
依然BB旺,1474,   可惜没安卓,3.0,8
孤城慎独,1283,  米哈游天下第一[doge],3.0,15
吮指原,154,  看起来就好玩[蛋糕],3.0,12
海拉鲁死鱼,68,  ！！,3.0,4
Rasavatam,1291,[想一想],3.0,5
凌晨一点改微博名,155,  ！！！,3.0,5
云落木,652,[doge] ,3.0,7
园长阿刘,525,  抽我！！！,3.0,7
云养喵专业户,230,  继续,3.0,4
德不不不奶,2085,快测试等不及啦！  ,3.0,10
书一点禾,2781,前面的评论跟现在完全不一样，全都打脸场面,3.0,20
夕神心音,1675,就喜欢挖坟看看以前的有趣发言[doge],3.0,20
下饭的奕泽,2785,神里内测的时候就已经做出来了,3.0,14
下饭的奕泽,2785,任天堂自己说的没有抄袭,3.0,11
下饭的奕泽,2785,任天堂自己现在说的没有抄袭，作何感想,3.0,18
下饭的奕泽,2785,笑死，任天堂都说了没有抄袭,3.0,13
下饭的奕泽,2785,任天堂自己说的没有抄袭,3.0,11
吉日晨良,1932,[doge],3.0,6
黑鸭嗨哟,2778,毕竟当初被带节奏的总不能打自己的脸，只能选择性忽略当个无脑黑了[吃瓜],3.0,35
黑鸭嗨哟,2778,王者荣耀真好玩是吧[太开心],3.0,14
黑鸭嗨哟,2778,怎么样，成功没,3.0,7
艾·喆芷谮濹锉布锴勒,957,哥们，现在原神也要上ns了[允悲],3.0,17
事彗茵,2041,因为有你这种买不起的云玩家等着白嫖啊[二哈],3.0,22
顾影自叹,1505,中国游戏厂商就一国际笑话,3.0,12
顾影自叹,1505,米哈游全体员工就是一个笑话，米卫兵就是腊鸡，抄袭无罪,3.0,26
顾影自叹,1505,辣鸡游戏，养了一堆狗，崩坏三骗人钱就算了，还抄袭有理，我无罪,3.0,30
顾影自叹,1505,小心死都不知道咋死的，阴沟里翻车,3.0,16
QUARTZ2017,2535,吔屎啦你,3.0,4
QUARTZ2017,2535,傻逼,3.0,2
我伊布贼溜,813,别人国行都没开告得了么？况且我们这边什么情况自己不清楚？真就杀人没被抓就不是犯法呗，抄不抄玩过的人有眼睛看得出来，闭眼否认抄袭就不存在了？就会扣键盘侠的帽子，不和你们一个观点就是键盘侠？这么牛咋不去重新定义一下这个词呢，再说无脑支持抄袭作品还不如键盘侠呢,3.0,127
我伊布贼溜,813,不会玩的，别的优秀原创游戏多的很啊，别给自己脸上贴金了以为谁都想玩,3.0,33
鱼古墓,2378,也不知道谁最硬哦[费解],3.0,12
